*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2010 257   108   308   169      0    377    897     0     0   120    0.00   0.0   0.0   0.00   0.324   0.288   0.263   0.250   0.248   0.247
 2010 258   109   356   217      0    387    962     0     0   117    0.00   0.0   0.0   0.00   0.318   0.318   0.321   0.313   0.286   0.270
 2010 259   110   317   178      0    422    962     0     0   119    0.00   0.0   0.0   0.00   0.262   0.270   0.273   0.271   0.261   0.255
 2010 260   111   316   177      0    427    967     0     0   119    0.00   0.0   0.0   0.00   0.298   0.267   0.265   0.262   0.261   0.258
 2010 261   112   302   163      0    437    967     0     0   120    0.00   0.0   0.0   0.00   0.256   0.251   0.251   0.251   0.252   0.251
 2010 262   113   300   160      0    438    971     0     0   120    0.00   0.0   0.0   0.00   0.272   0.252   0.249   0.248   0.249   0.249
 2010 263   114   301   162      0    438    978     0     0   120    0.00   0.0   0.0   0.00   0.301   0.259   0.251   0.247   0.248   0.246
 2010 264   115   294   155      0    438    978     0     0   120    0.00   0.0   0.0   0.00   0.250   0.244   0.244   0.245   0.246   0.246
 2010 265   116   306   166      0    438    995     0     0   120    0.00   0.0   0.0   0.00   0.318   0.289   0.260   0.248   0.248   0.243
 2010 266   117   297   157      0    441    995     0     0   120    0.00   0.0   0.0   0.00   0.257   0.256   0.247   0.245   0.246   0.246
 2010 267   118   294   155      0    441    999     0     0   120    0.00   0.0   0.0   0.00   0.269   0.252   0.247   0.244   0.242   0.243
 2010 268   119   289   149      0    441    999     0     0   120    0.00   0.0   0.0   0.00   0.238   0.242   0.243   0.242   0.239   0.240
 2010 269   120   285   146      0    441    999     0     0   120    0.00   0.0   0.0   0.00   0.217   0.238   0.240   0.239   0.237   0.238
