*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2010 235    86  23.95  30.25  21.00  5.851  3.477  2.334  5.811  3.477  2.334  0.000  0.000  432.83  340.11  180.37  159.74    0.00    0.00   0.572   0.429   0.358   0.434   0.303   0.239   0.348
 2010 236    87  17.22  30.25  20.75  4.174  2.426  1.723  3.577  2.426  1.151  0.000  0.000  437.00  343.68  182.79  160.89    0.00    0.00   0.965   0.122   0.036   0.018   0.007   0.003   0.243
 2010 237    88  23.80  30.25  20.00  5.730  3.253  2.452  4.332  3.253  1.079  0.000  0.000  442.73  348.01  186.04  161.97    0.00    0.00   0.895   0.121   0.035   0.018   0.006   0.003   0.325
 2010 238    89  21.04  32.25  21.00  5.186  2.857  2.306  5.163  2.857  2.306  0.000  0.000  447.92  353.18  188.90  164.28    0.00    0.00   0.590   0.454   0.347   0.411   0.283   0.222   0.286
 2010 239    90  15.53  31.50  18.75  3.865  2.042  1.797  3.838  2.042  1.797  0.000  0.000  451.79  357.02  190.94  166.07    0.00    0.00   0.465   0.343   0.271   0.322   0.222   0.174   0.204
 2010 240    91  23.18  30.75  20.50  5.712  2.905  2.773  5.678  2.905  2.773  0.000  0.000  457.50  362.69  193.85  168.85    0.00    0.00   0.744   0.549   0.413   0.477   0.331   0.260   0.290
 2010 241    92  21.34  31.25  19.25  5.340  2.597  2.720  5.316  2.597  2.720  0.000  0.000  462.84  368.01  196.44  171.56    0.00    0.00   0.692   0.521   0.412   0.488   0.340   0.267   0.260
 2010 242    93  25.62  32.00  20.50  6.411  2.952  3.432  6.384  2.952  3.432  0.000  0.000  469.25  374.39  199.40  175.00    0.00    0.00   0.829   0.636   0.527   0.640   0.447   0.353   0.295
 2010 243    94  17.19  31.25  19.75  4.214  1.813  2.385  4.197  1.813  2.385  0.000  0.000  473.46  378.59  201.21  177.38    0.00    0.00   0.614   0.466   0.366   0.420   0.291   0.228   0.181
 2010 244    95  14.88  31.00  20.00  3.764  1.622  2.130  3.753  1.622  2.130  0.000  0.000  477.23  382.34  202.83  179.51    0.00    0.00   0.585   0.432   0.328   0.355   0.242   0.188   0.162
 2010 245    96  18.55  30.50  20.00  4.668  2.004  2.642  4.646  2.004  2.642  0.000  0.000  481.89  386.99  204.84  182.15    0.00    0.00   0.719   0.495   0.407   0.460   0.316   0.245   0.200
 2010 246    97  15.48  29.75  19.75  3.828  1.646  2.167  3.813  1.646  2.167  0.000  0.000  485.72  390.80  206.48  184.32    0.00    0.00   0.577   0.415   0.343   0.374   0.257   0.200   0.165
 2010 247    98  13.94  28.50  19.00  3.407  1.465  1.928  3.393  1.465  1.928  0.000  0.000  489.13  394.20  207.95  186.25    0.00    0.00   0.481   0.362   0.304   0.349   0.242   0.189   0.146
 2010 248    99  18.98  29.75  21.25  4.685  2.021  2.652  4.672  2.021  2.652  0.000  0.000  493.81  398.87  209.97  188.90    0.00    0.00   0.638   0.487   0.414   0.495   0.345   0.272   0.202
 2010 249   100   9.32  33.50  19.00  2.334  1.004  1.321  2.325  1.004  1.321  0.000  0.000  496.15  401.19  210.97  190.22    0.00    0.00   0.328   0.248   0.211   0.245   0.164   0.126   0.100
 2010 250   101  15.74  26.75  19.50  3.793  1.626  2.147  3.773  1.626  2.147  0.000  0.000  499.94  404.97  212.60  192.37    0.00    0.00   0.531   0.398   0.339   0.401   0.270   0.209   0.163
 2010 251   102  21.09  30.70  20.50  5.234  2.254  2.962  5.216  2.254  2.962  0.000  0.000  505.18  410.18  214.85  195.33    0.00    0.00   0.791   0.539   0.449   0.531   0.367   0.285   0.225
 2010 252   103  14.03  30.00  20.50  3.519  1.523  1.991  3.514  1.523  1.991  0.000  0.000  508.69  413.70  216.37  197.32    0.00    0.00   0.568   0.361   0.291   0.344   0.240   0.188   0.152
 2010 253   104  23.51  30.00  20.00  5.886  2.530  3.331  5.861  2.530  3.331  0.000  0.000  514.58  419.56  218.90  200.65    0.00    0.00   0.859   0.608   0.502   0.605   0.423   0.334   0.253
 2010 254   105  24.56  31.00  20.50  6.094  2.621  3.449  6.070  2.621  3.449  0.000  0.000  520.67  425.63  221.53  204.10    0.00    0.00   0.833   0.626   0.531   0.647   0.453   0.358   0.262
 2010 255   106  23.01  31.75  21.25  5.732  2.469  3.244  5.713  2.469  3.244  0.000  0.000  526.40  431.34  223.99  207.35    0.00    0.00   0.855   0.610   0.485   0.576   0.403   0.315   0.247
