*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2008 188    79  13.40  30.40  22.70  3.267  2.744  0.498  3.243  2.744  0.498  0.000  0.000  356.61  288.77  151.32  137.45    0.00    0.00   0.414   0.055   0.017   0.007   0.003   0.002   0.274
 2008 189    80  12.10  30.40  22.20  2.938  2.460  0.450  2.722  2.272  0.450  0.000  0.000  359.54  291.50  153.59  137.90    0.00    0.00   0.373   0.051   0.016   0.007   0.003   0.002   0.227
 2008 190    81  13.90  30.50  21.70  3.366  2.819  0.520  2.367  1.848  0.520  0.000  0.000  362.91  293.86  155.44  138.42    0.00    0.00   0.428   0.060   0.018   0.008   0.003   0.002   0.185
 2008 191    82  11.30  30.40  22.30  2.745  2.288  0.438  2.015  1.577  0.438  0.000  0.000  365.65  295.88  157.02  138.86    0.00    0.00   0.358   0.052   0.016   0.007   0.003   0.002   0.158
 2008 192    83  15.50  32.10  21.90  3.824  3.170  0.627  1.993  1.366  0.627  0.000  0.000  369.48  297.87  158.38  139.49    0.00    0.00   0.511   0.076   0.023   0.010   0.005   0.002   0.137
 2008 193    84  19.00  32.20  22.00  4.697  3.858  0.811  2.042  1.231  0.811  0.000  0.000  374.18  299.91  159.61  140.30    0.00    0.00   0.655   0.102   0.031   0.014   0.006   0.003   0.123
 2008 194    85  19.10  32.00  22.70  4.737  3.836  0.868  1.988  1.120  0.868  0.000  0.000  378.91  301.90  160.73  141.17    0.00    0.00   0.692   0.114   0.035   0.016   0.007   0.004   0.112
 2008 195    86  18.60  30.20  23.00  4.537  3.622  0.883  1.910  1.027  0.883  0.000  0.000  383.45  303.81  161.76  142.05    0.00    0.00   0.692   0.123   0.038   0.017   0.008   0.004   0.103
 2008 196    87  16.90  31.00  23.20  4.164  3.274  0.859  1.808  0.949  0.859  0.000  0.000  387.61  305.62  162.71  142.91    0.00    0.00   0.713   0.099   0.027   0.012   0.005   0.003   0.095
 2008 197    88   9.80  32.10  23.30  2.471  1.914  0.539  2.453  1.914  0.539  0.000  0.000  390.09  308.07  164.62  143.45    0.00    0.00   0.158   0.116   0.085   0.076   0.059   0.046   0.191
