*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2008 174    65    63  103.8    0.0  103.8   0.00   2.35  108.5   48.2   55.6    2.3   2.35   1.09    0.00    0.79
 2008 175    66    64  106.3    0.0  106.3   0.00   2.33  111.1   48.9   57.4    2.3   2.33   1.09    0.00    0.82
 2008 176    67    65  106.3    0.0  106.3   0.00   2.29  111.1   48.5   57.8    2.3   2.29   1.08    0.00    0.82
 2008 177    68    66  108.5    0.0  108.5   0.00   2.28  113.4   49.2   59.3    2.3   2.28   1.08    0.00    0.85
 2008 178    69    67  109.1    0.0  109.1   0.00   2.25  114.1   49.2   59.9    2.2   2.25   1.08    0.00    0.88
 2008 179    70    68  110.6    0.0  110.6   0.00   2.26  115.6   48.9   61.7    2.3   2.26   1.08    0.00    0.91
 2008 180    71    69  110.6    0.0  110.6   0.00   2.25  115.6   48.0   62.6    2.3   2.25   1.07    0.00    0.91
 2008 181    72    70  110.6    0.0  110.6   0.00   2.23  115.6   46.7   63.8    2.2   2.23   1.06    0.00    0.91
 2008 182    73    71  110.6    0.0  110.6   0.00   2.23  115.6   46.0   64.6    2.2   2.23   1.06    0.00    0.91
 2008 183    74    72  110.6    0.0  110.6   0.00   2.23  115.6   45.0   65.5    2.2   2.23   1.05    0.00    0.91
 2008 184    75    73  110.6    0.0  110.6   0.00   2.21  115.6   43.9   66.7    2.2   2.21   1.05    0.00    0.91
 2008 185    76    74  110.6    0.0  110.6   0.00   2.20  115.6   42.7   67.9    2.2   2.20   1.04    0.00    0.91
 2008 186    77    75  110.6    0.0  110.6   0.00   2.21  115.6   41.8   68.7    2.2   2.21   1.03    0.00    0.91
 2008 187    78    76  110.6    2.6  108.0   1.71   2.16  115.6   40.8   67.1    2.2   2.16   1.02    0.00    0.91
 2008 188    79    77  110.6    5.3  105.3   1.73   2.10  115.6   39.8   65.5    2.1   2.10   1.02    0.00    0.91
 2008 189    80    78  110.6    7.8  102.7   1.75   2.06  115.6   39.0   63.7    2.1   2.06   1.03    0.00    0.91
 2008 190    81    79  110.6   10.1  100.5   1.76   2.02  115.6   38.3   62.2    2.0   2.02   1.03    0.00    0.91
 2008 191    82    80  110.6   12.4   98.2   1.77   1.99  115.6   37.7   60.5    2.0   1.99   1.04    0.00    0.91
 2008 192    83    81  110.6   14.3   96.3   1.78   1.96  115.6   37.2   59.1    2.0   1.96   1.04    0.00    0.91
 2008 193    84    82  110.6   16.0   94.5   1.79   1.94  115.6   36.7   57.8    1.9   1.94   1.05    0.00    0.91
 2008 194    85    83  110.6   17.7   92.9   1.80   1.91  115.6   36.2   56.6    1.9   1.91   1.06    0.00    0.91
 2008 195    86    84  110.6   19.4   91.1   1.81   1.89  115.6   35.8   55.3    1.9   1.89   1.06    0.00    0.91
 2008 196    87    85  110.6   21.1   89.4   1.81   1.87  115.6   35.4   54.0    1.9   1.87   1.07    0.00    0.91
 2008 197    88    86  110.6   23.6   87.0   1.81   1.83  115.6   34.7   52.3    1.8   1.83   1.07    0.00    0.91
 2008 198    89    87  110.6   26.2   84.4   1.80   1.77  115.6   33.5   50.9    1.8   1.77   1.05    0.00    0.91
 2008 199    90    88  110.6   28.5   82.1   1.80   1.72  115.6   32.6   49.5    1.7   1.72   1.05    0.00    0.91
 2008 200    91    89  110.6   31.1   79.5   1.79   1.68  115.6   31.8   47.7    1.7   1.68   1.06    0.00    0.91
 2008 201    92    90  110.6   33.7   76.9   1.79   1.62  115.6   30.7   46.2    1.6   1.62   1.05    0.00    0.91
 2008 202    93    91  110.6   36.2   74.3   1.78   1.58  115.6   29.8   44.5    1.6   1.58   1.06    0.00    0.91
 2008 203    94    92  110.6   38.8   71.7   1.78   1.52  115.6   28.8   42.9    1.5   1.52   1.06    0.00    0.91
 2008 204    95    93  110.6   41.5   69.1   1.78   1.48  115.6   27.9   41.1    1.5   1.48   1.06    0.00    0.91
 2008 205    96    94  110.6   44.0   66.5   1.78   1.42  115.6   26.8   39.7    1.4   1.42   1.05    0.00    0.91
 2008 206    97    95  110.6   46.7   63.9   1.77   1.35  115.6   25.6   38.3    1.4   1.35   1.03    0.00    0.91
 2008 207    98    96  110.6   49.3   61.3   1.77   1.30  115.6   24.6   36.6    1.3   1.30   1.04    0.00    0.91
 2008 208    99    97  110.6   51.9   58.7   1.77   1.25  115.6   23.7   34.9    1.3   1.25   1.05    0.00    0.91
 2008 209   100    98  110.6   54.5   56.0   1.77   1.21  115.6   22.9   33.1    1.2   1.21   1.05    0.00    0.91
 2008 210   101    99  110.6   57.2   53.4   1.77   1.15  115.6   21.8   31.6    1.1   1.15   1.05    0.00    0.91
