*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2008 206    97   291    36      0    137    480     0     0   100    0.00   0.0   0.0   0.00   0.292   0.310   0.312   0.295   0.277   0.281
 2008 207    98   325    70      0    137    517     0     0   100    0.00   0.0   0.0   0.00   0.379   0.370   0.371   0.343   0.291   0.280
 2008 208    99   322    67      0    137    517     0     0   100    0.00   0.0   0.0   0.00   0.350   0.348   0.352   0.343   0.307   0.280
 2008 209   100   319    64      0    137    517     0     0   100    0.00   0.0   0.0   0.00   0.333   0.334   0.337   0.335   0.323   0.279
 2008 210   101   315    60      0    137    517     0     0   100    0.00   0.0   0.0   0.00   0.321   0.326   0.329   0.331   0.321   0.279
 2008 211   102   328    73      0    137    534     0     0   100    0.00   0.0   0.0   0.00   0.376   0.372   0.348   0.336   0.327   0.278
 2008 212   103   325    70      0    137    534     0     0   100    0.00   0.0   0.0   0.00   0.342   0.343   0.335   0.334   0.334   0.289
 2008 213   104   323    68      0    137    536     0     0   100    0.00   0.0   0.0   0.00   0.344   0.334   0.333   0.334   0.331   0.289
 2008 214   105   320    65      0    137    536     0     0   100    0.00   0.0   0.0   0.00   0.325   0.329   0.330   0.330   0.329   0.288
 2008 215   106   315    60      0    137    536     0     0   100    0.00   0.0   0.0   0.00   0.297   0.322   0.324   0.327   0.326   0.288
 2008 216   107   313    58      0    137    536     0     0   100    0.00   0.0   0.0   0.00   0.280   0.318   0.322   0.325   0.325   0.288
 2008 217   108   310    55      0    137    536     0     0   100    0.00   0.0   0.0   0.00   0.260   0.313   0.318   0.322   0.322   0.288
 2008 218   109   306    51      0    137    536     0     0   100    0.00   0.0   0.0   0.00   0.243   0.308   0.313   0.318   0.319   0.287
 2008 219   110   303    48      0    137    536     0     0   100    0.00   0.0   0.0   0.00   0.227   0.304   0.310   0.316   0.317   0.287
 2008 220   111   303    48      0    137    539     0     0   100    0.00   0.0   0.0   0.00   0.275   0.301   0.307   0.313   0.315   0.287
 2008 221   112   300    45      0    137    539     0     0   100    0.00   0.0   0.0   0.00   0.256   0.297   0.304   0.310   0.312   0.286
 2008 222   113   298    43      0    137    539     0     0   100    0.00   0.0   0.0   0.00   0.239   0.294   0.301   0.308   0.310   0.286
 2008 223   114   294    39      0    137    539     0     0   100    0.00   0.0   0.0   0.00   0.223   0.289   0.297   0.304   0.306   0.285
 2008 224   115   290    35      0    137    539     0     0   100    0.00   0.0   0.0   0.00   0.209   0.286   0.293   0.301   0.303   0.284
 2008 225   116   287    32      0    137    539     0     0   100    0.00   0.0   0.0   0.00   0.197   0.282   0.290   0.298   0.300   0.283
 2008 226   117   285    30      0    137    539     0     0   100    0.00   0.0   0.0   0.00   0.185   0.280   0.288   0.296   0.299   0.283
 2008 227   118   283    28      0    137    539     0     0   100    0.00   0.0   0.0   0.00   0.175   0.277   0.286   0.293   0.296   0.282
 2008 228   119   281    26      0    137    540     0     0   100    0.00   0.0   0.0   0.00   0.179   0.274   0.284   0.292   0.295   0.281
 2008 229   120   279    24      0    137    540     0     0   100    0.00   0.0   0.0   0.00   0.169   0.272   0.282   0.290   0.293   0.281
 2008 230   121   278    23      0    137    540     0     0   100    0.00   0.0   0.0   0.00   0.160   0.270   0.280   0.288   0.291   0.280
 2008 231   122   276    21      0    137    540     0     0   100    0.00   0.0   0.0   0.00   0.152   0.268   0.278   0.287   0.290   0.279
 2008 232   123   274    19      0    137    540     0     0   100    0.00   0.0   0.0   0.00   0.145   0.266   0.277   0.285   0.289   0.279
