*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    
 2014 256   129    23.1    23.2    23.4    23.6    24.0    24.5    24.9
 2014 257   130    23.8    23.8    24.0    24.2    24.6    25.0    25.4
 2014 258   131    24.3    24.3    24.5    24.7    25.0    25.4    25.7
 2014 259   132    24.4    24.4    24.5    24.7    25.1    25.4    25.8
 2014 260   133    24.2    24.3    24.4    24.6    24.9    25.3    25.7
 2014 261   134    24.8    24.9    25.0    25.2    25.5    25.8    26.1
 2014 262   135    25.5    25.6    25.7    25.8    26.1    26.4    26.6
 2014 263   136    25.7    25.7    25.8    26.0    26.2    26.5    26.8
 2014 264   137    25.7    25.7    25.8    26.0    26.2    26.5    26.8
 2014 265   138    26.1    26.1    26.2    26.3    26.6    26.8    27.0
 2014 266   139    26.0    26.0    26.1    26.3    26.5    26.8    27.0
 2014 267   140    25.3    25.3    25.4    25.6    25.9    26.2    26.5
 2014 268   141    25.2    25.2    25.4    25.5    25.8    26.2    26.4
 2014 269   142    25.8    25.8    25.9    26.1    26.3    26.6    26.9
 2014 270   143    25.7    25.7    25.8    26.0    26.2    26.5    26.8
 2014 271   144    25.8    25.8    25.9    26.1    26.4    26.6    26.9
 2014 272   145    26.3    26.3    26.4    26.5    26.8    27.0    27.2
 2014 273   146    26.0    26.0    26.1    26.3    26.5    26.8    27.0
 2014 274   147    25.9    25.9    26.0    26.2    26.4    26.7    27.0
 2014 275   148    26.0    26.0    26.1    26.3    26.5    26.8    27.0
 2014 276   149    25.6    25.6    25.7    25.9    26.2    26.5    26.7
 2014 277   150    24.9    25.0    25.1    25.3    25.6    26.0    26.3
 2014 278   151    24.7    24.7    24.8    25.0    25.4    25.8    26.1
 2014 279   152    24.1    24.1    24.3    24.5    24.9    25.3    25.7
 2014 280   153    23.8    23.8    24.0    24.2    24.6    25.1    25.5
 2014 281   154    24.2    24.3    24.4    24.6    25.0    25.4    25.8
 2014 282   155    24.7    24.7    24.9    25.1    25.4    25.8    26.1
 2014 283   156    25.1    25.2    25.3    25.5    25.8    26.1    26.5
 2014 284   157    25.2    25.2    25.3    25.5    25.8    26.2    26.5
 2014 285   158    25.8    25.8    25.9    26.1    26.4    26.7    26.9
 2014 286   159    25.5    25.6    25.7    25.8    26.1    26.5    26.7
 2014 287   160    25.2    25.2    25.3    25.5    25.9    26.2    26.5
 2014 288   161    25.4    25.4    25.5    25.7    26.0    26.4    26.7
 2014 289   162    26.2    26.2    26.3    26.5    26.7    27.0    27.3
 2014 290   163    26.5    26.6    26.6    26.8    27.0    27.3    27.5
 2014 291   164    26.6    26.6    26.7    26.8    27.0    27.3    27.5
 2014 292   165    27.0    27.0    27.1    27.3    27.5    27.7    27.9
 2014 293   166    27.0    27.0    27.1    27.2    27.4    27.6    27.8
 2014 294   167    26.8    26.8    26.9    27.0    27.2    27.5    27.7
 2014 295   168    26.7    26.7    26.8    26.9    27.1    27.4    27.6
 2014 296   169    26.9    26.9    27.0    27.2    27.4    27.6    27.8
 2014 297   170    26.8    26.8    26.9    27.0    27.3    27.5    27.7
 2014 298   171    27.0    27.0    27.1    27.2    27.4    27.7    27.9
 2014 299   172    26.6    26.6    26.7    26.9    27.1    27.4    27.6
 2014 300   173    26.0    26.0    26.2    26.3    26.6    27.0    27.2
 2014 301   174    25.5    25.5    25.7    25.9    26.2    26.6    26.9
 2014 302   175    25.6    25.7    25.8    26.0    26.3    26.7    27.0
 2014 303   176    25.3    25.4    25.5    25.7    26.1    26.5    26.8
 2014 304   177    25.6    25.7    25.8    26.0    26.3    26.7    27.0
 2014 305   178    26.1    26.2    26.3    26.5    26.8    27.1    27.4
 2014 306   179    26.8    26.8    26.9    27.1    27.4    27.6    27.8
 2014 307   180    26.6    26.6    26.7    26.9    27.2    27.5    27.7
 2014 308   181    26.5    26.6    26.7    26.9    27.2    27.5    27.7
 2014 309   182    26.7    26.7    26.8    27.0    27.3    27.6    27.8
 2014 310   183    26.5    26.5    26.7    26.9    27.1    27.5    27.7
 2014 311   184    26.0    26.0    26.2    26.4    26.7    27.1    27.4
 2014 312   185    26.3    26.3    26.5    26.7    27.0    27.4    27.6
 2014 313   186    26.5    26.6    26.7    26.9    27.2    27.6    27.8
 2014 314   187    26.0    26.0    26.2    26.4    26.8    27.2    27.5
 2014 315   188    25.8    25.8    26.0    26.2    26.6    27.1    27.4
 2014 316   189    26.3    26.3    26.5    26.7    27.1    27.4    27.7
 2014 317   190    26.2    26.3    26.5    26.7    27.1    27.5    27.7
 2014 318   191    26.1    26.2    26.4    26.6    27.0    27.4    27.7
 2014 319   192    26.3    26.3    26.5    26.7    27.1    27.5    27.8
 2014 320   193    26.5    26.6    26.7    26.9    27.3    27.6    27.9
 2014 321   194    25.9    26.0    26.2    26.4    26.8    27.3    27.6
 2014 322   195    26.1    26.2    26.3    26.6    27.0    27.4    27.7
 2014 323   196    26.1    26.2    26.4    26.6    27.0    27.4    27.7
 2014 324   197    26.6    26.6    26.8    27.0    27.4    27.7    28.0
 2014 325   198    26.2    26.3    26.4    26.7    27.1    27.5    27.8
 2014 326   199    26.5    26.5    26.7    26.9    27.3    27.7    28.0
 2014 327   200    25.8    25.9    26.1    26.4    26.9    27.3    27.7
 2014 328   201    25.6    25.6    25.9    26.2    26.7    27.2    27.6
 2014 329   202    25.3    25.4    25.6    26.0    26.6    27.1    27.5
 2014 330   203    25.6    25.7    25.9    26.3    26.8    27.4    27.7
 2014 331   204    25.8    25.8    26.1    26.4    26.9    27.5    27.8
 2014 332   205    26.4    26.4    26.7    27.0    27.4    27.8    28.1
 2014 333   206    26.6    26.7    26.9    27.2    27.6    28.0    28.2
 2014 334   207    26.4    26.5    26.8    27.1    27.6    28.0    28.2
 2014 335   208    25.8    25.9    26.2    26.7    27.3    27.8    28.0
 2014 336   209    25.8    25.9    26.2    26.7    27.3    27.8    28.0
 2014 337   210    25.5    25.7    26.0    26.5    27.2    27.7    28.0
 2014 338   211    25.5    25.6    26.0    26.6    27.3    27.8    28.0
 2014 339   212    25.9    26.0    26.4    26.9    27.5    28.0    28.1
 2014 340   213    26.5    26.6    26.9    27.4    27.9    28.2    28.2
 2014 341   214    26.2    26.4    26.7    27.3    27.8    28.1    28.1
 2014 342   215    25.8    25.9    26.4    27.0    27.7    28.0    28.0
 2014 343   216    25.2    25.4    25.9    26.7    27.5    27.9    27.9
 2014 344   217    24.4    24.6    25.2    26.1    27.1    27.7    27.8
 2014 345   218    24.0    24.2    24.9    25.9    27.0    27.6    27.8
 2014 346   219    23.6    23.8    24.6    25.6    26.8    27.5    27.7
 2014 347   220    23.6    23.9    24.6    25.6    26.8    27.6    27.8
 2014 348   221    23.8    24.0    24.7    25.7    26.9    27.6    27.8
 2014 349   222    24.0    24.2    24.9    25.9    27.0    27.6    27.8
 2014 350   223    23.9    24.2    24.9    25.8    26.9    27.6    27.8
 2014 351   224    23.7    24.0    24.7    25.7    26.8    27.6    27.8
 2014 352   225    23.5    23.8    24.5    25.5    26.7    27.5    27.7
 2014 353   226    23.4    23.7    24.4    25.4    26.7    27.5    27.7
 2014 354   227    23.4    23.6    24.4    25.4    26.7    27.5    27.7
 2014 355   228    23.4    23.7    24.4    25.4    26.7    27.5    27.7
 2014 356   229    23.7    24.0    24.6    25.6    26.8    27.5    27.8
 2014 357   230    23.9    24.1    24.8    25.7    26.8    27.6    27.8
 2014 358   231    23.7    23.9    24.6    25.6    26.7    27.5    27.8
 2014 359   232    23.9    24.1    24.8    25.7    26.8    27.6    27.8
 2014 360   233    23.7    24.0    24.6    25.6    26.8    27.5    27.8
 2014 361   234    24.0    24.2    24.8    25.7    26.8    27.6    27.8
 2014 362   235    24.2    24.4    25.0    25.8    26.9    27.6    27.8
 2014 363   236    24.6    24.8    25.3    26.1    27.1    27.7    27.9
