*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2009 207   104    0.5   12.3   13.2   12.0   24.0   0.58   29.1   22.2   25.5   26.7   15.1   25.5   26.7  164.2  387.5   0.00   0.00
 2009 208   105    0.0   12.3   13.1   10.2   20.4   0.65   27.5   22.2   24.8   25.6   19.0   24.8   25.6  164.2  387.5   0.00   0.00
 2009 209   106    0.0   12.3   13.1    9.8   19.6   0.66   27.5   22.0   24.7   25.6   17.4   24.7   25.6  172.8  387.5   0.00   0.00
 2009 210   107    0.0   12.3   13.1   15.0   30.0   0.48   29.1   22.1   25.5   26.6   15.9   25.5   26.6  138.2  387.5   0.00   0.00
 2009 211   108    0.0   12.3   13.1   13.6   27.2   0.53   28.9   22.3   25.5   26.6   18.1   25.5   26.6  155.5  387.5   0.00   0.00
 2009 212   109    0.0   12.3   13.1   12.0   24.0   0.58   28.9   22.5   25.6   26.7   20.6   25.6   26.7  207.4  387.5   0.00   0.00
 2009 213   110   10.0   12.3   13.1   14.0   28.0   0.52   29.1   22.2   25.5   26.7   17.6   25.5   26.7  164.2  387.5   0.00   0.00
 2009 214   111    0.0   12.3   13.1   11.1   22.2   0.62   30.0   22.2   26.0   27.3   16.7   26.0   27.3  129.6  387.5   0.00   0.00
 2009 215   112    0.0   12.3   13.1   12.7   25.4   0.56   30.0   22.4   26.1   27.3   18.2   26.1   27.3  138.2  387.5   0.00   0.00
 2009 216   113    0.0   12.3   13.1   10.9   21.8   0.62   30.6   22.1   26.2   27.6   18.5   26.2   27.6  155.5  387.5   0.00   0.00
 2009 217   114    0.0   12.3   13.1   20.2   40.4   0.30   29.0   22.3   25.5   26.6   18.1   25.5   26.6  155.5  387.5   0.00   0.00
 2009 218   115    0.0   12.2   13.1   10.6   21.2   0.63   30.0   22.2   26.0   27.3   18.4   26.0   27.3  172.8  387.5   0.00   0.00
 2009 219   116    0.0   12.2   13.1   11.8   23.6   0.59   27.5   22.0   24.7   25.6   17.6   24.7   25.6  164.2  387.5   0.00   0.00
 2009 220   117    0.0   12.2   13.1   12.5   25.0   0.57   30.0   22.1   25.9   27.2   17.7   25.9   27.2  138.2  387.5   0.00   0.00
 2009 221   118    0.0   12.2   13.1   15.8   31.6   0.46   33.0   22.0   27.3   29.1   17.2   27.3   29.1  146.9  387.5   0.00   0.00
 2009 222   119   35.4   12.2   13.1   20.1   40.2   0.31   29.9   22.0   25.8   27.1   17.4   25.8   27.1  146.9  387.5   0.00   0.00
 2009 223   120    1.0   12.2   13.1   11.7   23.4   0.60   29.9   22.1   25.9   27.2   17.7   25.9   27.2  164.2  387.5   0.00   0.00
 2009 224   121    0.0   12.2   13.1   10.4   20.8   0.64   29.6   22.2   25.8   27.0   17.6   25.8   27.0  172.8  387.5   0.00   0.00
 2009 225   122    0.0   12.2   13.1   11.9   23.8   0.59   29.3   22.2   25.6   26.8   18.4   25.6   26.8  164.2  387.5   0.00   0.00
 2009 226   123    0.6   12.2   13.0   10.6   21.2   0.64   29.3   22.4   25.7   26.9   18.6   25.7   26.9  129.6  387.5   0.00   0.00
 2009 227   124    0.0   12.2   13.0   14.6   29.2   0.50   30.5   22.2   26.2   27.6   17.6   26.2   27.6  155.5  387.7   0.00   0.00
 2009 228   125    0.0   12.2   13.0   13.4   26.8   0.54   30.3   22.2   26.1   27.4   17.1   26.1   27.4  138.2  387.7   0.00   0.00
 2009 229   126    0.0   12.2   13.0   15.0   30.0   0.49   28.6   22.1   25.2   26.3   18.9   25.2   26.3  129.6  387.7   0.00   0.00
 2009 230   127    0.0   12.2   13.0   10.0   20.0   0.66   31.5   22.5   26.8   28.3   18.3   26.8   28.3  164.2  387.7   0.00   0.00
 2009 231   128    0.0   12.2   13.0   14.6   29.2   0.50   30.5   22.2   26.2   27.6   16.7   26.2   27.6  155.5  387.7   0.00   0.00
 2009 232   129    0.9   12.2   13.0   14.6   29.2   0.50   28.5   22.1   25.2   26.2   18.3   25.2   26.2  103.7  387.7   0.00   0.00
 2009 233   130    0.0   12.2   13.0   12.6   25.2   0.57   29.0   21.9   25.3   26.5   18.9   25.3   26.5  138.2  387.7   0.00   0.00
 2009 234   131    0.0   12.2   13.0   16.5   33.0   0.44   31.4   22.2   26.6   28.1   17.3   26.6   28.1  129.6  387.7   0.00   0.00
 2009 235   132    0.0   12.2   13.0   10.0   20.0   0.66   31.7   22.2   26.8   28.3   18.0   26.8   28.3  138.2  387.7   0.00   0.00
 2009 236   133    0.0   12.2   13.0   15.9   31.8   0.46   31.8   22.2   26.8   28.4   17.3   26.8   28.4  121.0  387.7   0.00   0.00
 2009 237   134   42.4   12.2   13.0   10.0   20.0   0.66   29.5   22.3   25.8   26.9   19.1   25.8   26.9  121.0  387.7   0.00   0.00
 2009 238   135    0.0   12.1   13.0   14.3   28.6   0.51   31.0   22.3   26.5   27.9   17.9   26.5   27.9  155.5  387.7   0.00   0.00
 2009 239   136    0.0   12.1   13.0   18.3   36.6   0.37   30.1   22.4   26.1   27.4   17.5   26.1   27.4  146.9  387.7   0.00   0.00
 2009 240   137    1.6   12.1   13.0   18.1   36.2   0.38   31.3   22.5   26.7   28.2   18.3   26.7   28.2  155.5  387.7   0.00   0.00
 2009 241   138    0.0   12.1   13.0   10.0   20.0   0.66   29.0   22.4   25.6   26.7   18.2   25.6   26.7  181.4  387.7   0.00   0.00
 2009 242   139    0.0   12.1   12.9   16.5   33.0   0.44   29.8   22.3   25.9   27.1   18.1   25.9   27.1  155.5  387.7   0.00   0.00
 2009 243   140    0.0   12.1   12.9   13.5   27.0   0.54   30.2   22.4   26.1   27.4   18.4   26.1   27.4  146.9  387.7   0.00   0.00
 2009 244   141    0.0   12.1   12.9   12.6   25.2   0.57   29.2   22.3   25.6   26.7   19.1   25.6   26.7  138.2  387.7   0.00   0.00
 2009 245   142    0.0   12.1   12.9   11.2   22.4   0.62   31.5   22.4   26.8   28.3   17.5   26.8   28.3  155.5  387.7   0.00   0.00
 2009 246   143    0.0   12.1   12.9   13.9   27.8   0.52   31.0   22.4   26.5   27.9   17.3   26.5   27.9  112.3  387.7   0.00   0.00
 2009 247   144   10.8   12.1   12.9   12.9   25.8   0.56   33.0   22.6   27.6   29.3   17.9   27.6   29.3  112.3  387.7   0.00   0.00
 2009 248   145    0.0   12.1   12.9   14.3   28.6   0.51   31.3   22.5   26.7   28.2   19.9   26.7   28.2  146.9  387.7   0.00   0.00
 2009 249   146    0.0   12.1   12.9   11.2   22.4   0.62   32.1   22.5   27.1   28.7   19.5   27.1   28.7  146.9  387.7   0.00   0.00
 2009 250   147    0.0   12.1   12.9   14.8   29.6   0.49   32.3   22.4   27.1   28.8   18.0   27.1   28.8  112.3  387.7   0.00   0.00
