*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2014 326    46  19.70  28.60  16.50  4.542  3.395  1.144  4.539  3.395  1.144  0.000  0.000  177.86  131.52   40.14   91.38    0.00    0.00   0.310   0.221   0.183   0.184   0.140   0.107   0.339
 2014 327    47  14.76  28.30  17.00  3.370  2.579  0.788  3.367  2.579  0.788  0.000  0.000  181.23  134.89   42.72   92.17    0.00    0.00   0.205   0.151   0.125   0.130   0.100   0.077   0.258
 2014 328    48  20.29  29.40  16.40  4.654  3.639  1.009  4.277  3.639  0.638  0.000  0.000  185.88  139.17   46.36   92.81    0.00    0.00   0.540   0.065   0.019   0.009   0.004   0.002   0.364
 2014 329    49  16.11  31.60  17.70  3.808  3.039  0.765  3.805  3.039  0.765  0.000  0.000  189.69  142.97   49.40   93.58    0.00    0.00   0.219   0.144   0.111   0.122   0.095   0.074   0.304
 2014 330    50  11.33  24.80  16.60  2.484  2.022  0.458  2.480  2.022  0.458  0.000  0.000  192.18  145.45   51.42   94.03    0.00    0.00   0.136   0.090   0.063   0.070   0.056   0.044   0.202
 2014 331    51   9.92  25.30  15.70  2.161  1.783  0.374  2.158  1.783  0.374  0.000  0.000  194.34  147.61   53.20   94.41    0.00    0.00   0.106   0.075   0.052   0.058   0.046   0.036   0.178
 2014 332    52  13.44  27.40  17.60  3.037  2.538  0.498  3.036  2.538  0.498  0.000  0.000  197.37  150.64   55.74   94.91    0.00    0.00   0.137   0.101   0.068   0.079   0.063   0.050   0.254
 2014 333    53  14.53  27.40  16.40  3.245  2.743  0.496  3.239  2.743  0.496  0.000  0.000  200.62  153.88   58.48   95.40    0.00    0.00   0.164   0.106   0.067   0.067   0.051   0.040   0.274
 2014 334    54   7.78  24.60  17.60  1.729  1.482  0.246  1.728  1.482  0.246  0.000  0.000  202.35  155.61   59.96   95.65    0.00    0.00   0.076   0.051   0.037   0.035   0.026   0.020   0.148
 2014 335    55  19.59  29.50  16.70  4.520  3.894  0.619  4.513  3.894  0.619  0.000  0.000  206.87  160.12   63.86   96.27    0.00    0.00   0.171   0.123   0.097   0.097   0.074   0.057   0.389
 2014 336    56  12.32  26.60  18.30  2.767  2.411  0.350  2.761  2.411  0.350  0.000  0.000  209.64  162.89   66.27   96.62    0.00    0.00   0.092   0.069   0.055   0.057   0.044   0.034   0.241
 2014 337    57   8.33  24.30  17.40  1.805  1.588  0.216  1.804  1.588  0.216  0.000  0.000  211.44  164.69   67.86   96.83    0.00    0.00   0.067   0.041   0.032   0.032   0.025   0.019   0.159
 2014 338    58   9.78  24.90  17.70  2.160  1.914  0.245  2.159  1.914  0.245  0.000  0.000  213.60  166.85   69.77   97.08    0.00    0.00   0.078   0.048   0.037   0.036   0.027   0.021   0.191
 2014 339    59  20.89  27.60  17.10  4.717  4.202  0.511  4.713  4.202  0.511  0.000  0.000  218.32  171.56   73.97   97.59    0.00    0.00   0.147   0.100   0.081   0.079   0.058   0.045   0.420
 2014 340    60  22.59  31.10  16.70  5.267  4.740  0.523  5.263  4.740  0.523  0.000  0.000  223.58  176.82   78.71   98.11    0.00    0.00   0.138   0.102   0.084   0.085   0.064   0.049   0.474
 2014 341    61  19.49  30.80  16.70  4.517  4.098  0.413  4.511  4.098  0.413  0.000  0.000  228.10  181.34   82.81   98.52    0.00    0.00   0.348   0.043   0.012   0.006   0.002   0.001   0.410
 2014 342    62  21.76  30.80  17.80  5.076  4.632  0.434  5.066  4.632  0.434  0.000  0.000  233.18  186.40   87.44   98.96    0.00    0.00   0.361   0.048   0.014   0.007   0.003   0.002   0.463
 2014 343    63  19.84  29.00  17.40  4.515  4.145  0.362  4.507  4.145  0.362  0.000  0.000  237.69  190.91   91.59   99.32    0.00    0.00   0.309   0.035   0.010   0.005   0.002   0.001   0.415
 2014 344    64  11.32  24.70  17.50  2.463  2.274  0.187  2.461  2.274  0.187  0.000  0.000  240.16  193.37   93.86   99.51    0.00    0.00   0.063   0.033   0.022   0.029   0.023   0.018   0.227
 2014 345    65  19.20  28.80  16.70  4.367  4.042  0.320  4.363  4.042  0.320  0.000  0.000  244.52  197.73   97.90   99.83    0.00    0.00   0.102   0.064   0.037   0.049   0.038   0.030   0.404
 2014 346    66  13.45  28.00  18.20  3.056  2.840  0.214  3.054  2.840  0.214  0.000  0.000  247.58  200.79  100.74  100.04    0.00    0.00   0.063   0.044   0.026   0.034   0.027   0.021   0.284
