*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2015 028   113    88    18      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.099   0.116   0.110   0.080   0.075   0.078
 2015 029   114    84    14      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.089   0.100   0.102   0.080   0.075   0.078
 2015 030   115    81    11      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.081   0.091   0.091   0.080   0.075   0.077
 2015 031   116    78     8      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.073   0.083   0.083   0.079   0.075   0.077
 2015 032   117    77     7      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.068   0.079   0.079   0.079   0.074   0.077
 2015 033   118    76     6      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.064   0.076   0.077   0.078   0.074   0.076
 2015 034   119    75     5      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.061   0.074   0.075   0.077   0.074   0.076
 2015 035   120    74     4      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.061   0.072   0.073   0.077   0.074   0.076
 2015 036   121    73     3      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.058   0.071   0.072   0.076   0.073   0.075
 2015 037   122    73     3      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.055   0.070   0.071   0.076   0.073   0.075
 2015 038   123    72     2      0     54    353     0     0   100    0.00   0.0   0.0   0.00   0.052   0.070   0.070   0.075   0.073   0.075
 2015 039   124    73     3      0     54    354     0     0   100    0.00   0.0   0.0   0.00   0.072   0.069   0.070   0.075   0.072   0.075
 2015 040   125    72     2      0     54    354     0     0   100    0.00   0.0   0.0   0.00   0.068   0.069   0.070   0.074   0.072   0.074
 2015 041   126    74     4      0     54    357     0     0   100    0.00   0.0   0.0   0.00   0.117   0.069   0.070   0.074   0.072   0.074
 2015 042   127    72     2      0     54    357     0     0   100    0.00   0.0   0.0   0.00   0.070   0.069   0.070   0.074   0.072   0.074
 2015 043   128    71     1      0     54    357     0     0   100    0.00   0.0   0.0   0.00   0.066   0.068   0.070   0.073   0.071   0.074
 2015 044   129    71     1      0     54    357     0     0   100    0.00   0.0   0.0   0.00   0.062   0.068   0.070   0.073   0.071   0.073
 2015 045   130    71     1      0     54    357     0     0   100    0.00   0.0   0.0   0.00   0.066   0.068   0.070   0.072   0.071   0.073
 2015 046   131    72     2      0     54    359     0     0   100    0.00   0.0   0.0   0.00   0.097   0.068   0.070   0.072   0.071   0.073
 2015 047   132    71     1      0     54    359     0     0   100    0.00   0.0   0.0   0.00   0.080   0.067   0.070   0.071   0.070   0.072
 2015 048   133    91    21      0     54    380     0     0   100    0.00   0.0   0.0   0.00   0.281   0.158   0.075   0.071   0.070   0.072
 2015 049   134    88    18      0     54    380     0     0   100    0.00   0.0   0.0   0.00   0.182   0.139   0.101   0.071   0.070   0.072
 2015 050   135    82    12      0     54    380     0     0   100    0.00   0.0   0.0   0.00   0.131   0.123   0.095   0.070   0.069   0.071
 2015 051   136    80    10      0     54    380     0     0   100    0.00   0.0   0.0   0.00   0.114   0.114   0.095   0.070   0.069   0.071
 2015 052   137    79     9      0     54    381     0     0   100    0.00   0.0   0.0   0.00   0.110   0.103   0.093   0.070   0.069   0.071
 2015 053   138    76     6      0     54    381     0     0   100    0.00   0.0   0.0   0.00   0.082   0.091   0.089   0.070   0.069   0.071
 2015 054   139    81    11      0     54    388     0     0   100    0.00   0.0   0.0   0.00   0.178   0.105   0.083   0.070   0.069   0.071
 2015 055   140    79     9      0     54    389     0     0   100    0.00   0.0   0.0   0.00   0.148   0.109   0.082   0.070   0.069   0.071
 2015 056   141    77     7      0     54    389     0     0   100    0.00   0.0   0.0   0.00   0.123   0.099   0.081   0.070   0.069   0.071
 2015 057   142    74     4      0     54    390     0     0   100    0.00   0.0   0.0   0.00   0.079   0.092   0.080   0.070   0.069   0.071
 2015 058   143    73     3      0     54    391     0     0   100    0.00   0.0   0.0   0.00   0.087   0.083   0.077   0.070   0.069   0.070
 2015 059   144    74     4      0     54    392     0     0   100    0.00   0.0   0.0   0.00   0.111   0.080   0.076   0.070   0.069   0.070
 2015 060   145    72     2      0     54    392     0     0   100    0.00   0.0   0.0   0.00   0.080   0.079   0.075   0.070   0.069   0.070
 2015 061   146    71     1      0     54    392     0     0   100    0.00   0.0   0.0   0.00   0.072   0.076   0.074   0.069   0.069   0.070
 2015 062   147    70     0      0     54    392     0     0   100    0.00   0.0   0.0   0.00   0.068   0.074   0.072   0.069   0.069   0.070
