*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2014 364    84    82  134.3    0.0  134.3   0.00   1.90  143.6   65.1   69.2    1.9   1.90   0.89    0.00    1.83
 2014 365    85    83  134.3    0.0  134.3   0.00   1.90  143.7   63.8   70.5    1.9   1.90   0.90    0.00    1.87
 2015 001    86    84  134.3    0.0  134.3   0.00   1.90  143.7   62.6   71.7    1.9   1.90   0.90    0.00    1.87
 2015 002    87    85  134.3    1.4  132.8   1.88   1.88  143.7   62.0   70.8    1.9   1.88   0.90    0.00    1.87
 2015 003    88    86  134.3    2.8  131.5   1.88   1.87  143.7   61.6   69.9    1.9   1.87   0.91    0.00    1.87
 2015 004    89    87  134.3    4.1  130.1   1.89   1.86  143.7   61.2   69.0    1.9   1.86   0.91    0.00    1.87
 2015 005    90    88  134.3    6.0  128.3   1.87   1.82  143.7   60.1   68.2    1.8   1.82   0.91    0.00    1.87
 2015 006    91    89  134.3    7.6  126.7   1.87   1.81  143.7   59.8   66.9    1.8   1.81   0.91    0.00    1.87
 2015 007    92    90  134.3    8.9  125.3   1.87   1.80  143.7   59.4   65.9    1.8   1.80   0.92    0.00    1.87
 2015 008    93    91  134.3   10.3  124.0   1.87   1.79  143.7   59.1   64.9    1.8   1.79   0.92    0.00    1.87
 2015 009    94    92  134.3   11.6  122.7   1.87   1.78  143.7   58.8   63.8    1.8   1.78   0.93    0.00    1.87
 2015 010    95    93  134.3   12.9  121.4   1.88   1.78  143.7   58.5   62.8    1.8   1.78   0.93    0.00    1.87
 2015 011    96    94  134.3   15.2  119.1   1.85   1.74  143.7   57.5   61.7    1.7   1.74   0.93    0.00    1.87
 2015 012    97    95  134.3   17.4  116.9   1.83   1.71  143.7   56.2   60.6    1.7   1.71   0.93    0.00    1.87
 2015 013    98    96  134.3   19.6  114.6   1.81   1.67  143.7   55.0   59.6    1.7   1.67   0.93    0.00    1.87
 2015 014    99    97  134.3   21.9  112.4   1.80   1.62  143.7   53.5   58.9    1.6   1.62   0.91    0.00    1.87
 2015 015   100    98  134.3   24.1  110.1   1.79   1.58  143.7   52.1   58.0    1.6   1.58   0.89    0.00    1.87
 2015 016   101    99  134.3   26.4  107.9   1.78   1.54  143.7   50.7   57.2    1.5   1.54   0.87    0.00    1.87
 2015 017   102   100  134.3   28.1  106.2   1.79   1.51  143.7   49.8   56.4    1.5   1.51   0.88    0.00    1.87
 2015 018   103   101  134.3   29.6  104.7   1.79   1.49  143.7   49.2   55.5    1.5   1.49   0.88    0.00    1.87
 2015 019   104   102  134.3   31.2  103.1   1.80   1.47  143.7   48.5   54.6    1.5   1.47   0.88    0.00    1.87
 2015 020   105   103  134.3   32.9  101.4   1.80   1.46  143.7   48.0   53.4    1.5   1.46   0.89    0.00    1.87
 2015 021   106   104  134.3   35.1   99.1   1.79   1.43  143.7   47.0   52.2    1.4   1.43   0.89    0.00    1.87
 2015 022   107   105  134.3   37.4   96.9   1.79   1.39  143.7   46.0   50.9    1.4   1.39   0.90    0.00    1.87
 2015 023   108   106  134.3   39.6   94.7   1.78   1.35  143.7   44.6   50.1    1.4   1.35   0.88    0.00    1.87
 2015 024   109   107  134.3   41.9   92.4   1.78   1.32  143.7   43.6   48.8    1.3   1.32   0.88    0.00    1.87
 2015 025   110   108  134.3   44.1   90.2   1.77   1.29  143.7   42.6   47.6    1.3   1.29   0.89    0.00    1.87
 2015 026   111   109  134.3   46.4   87.9   1.77   1.25  143.7   41.2   46.7    1.3   1.25   0.87    0.00    1.87
 2015 027   112   110  134.3   48.6   85.7   1.77   1.21  143.7   40.0   45.7    1.2   1.21   0.85    0.00    1.87
 2015 028   113   111  134.3   50.9   83.4   1.76   1.18  143.7   38.9   44.5    1.2   1.18   0.82    0.00    1.87
 2015 029   114   112  134.3   53.1   81.1   1.76   1.15  143.7   37.8   43.3    1.1   1.15   0.81    0.00    1.87
 2015 030   115   113  134.3   55.4   78.9   1.76   1.12  143.7   36.8   42.1    1.1   1.12   0.80    0.00    1.87
 2015 031   116   114  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 032   117   115  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 033   118   116  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 034   119   117  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 035   120   118  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 036   121   119  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 037   122   120  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 038   123   121  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 039   124   122  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 040   125   123  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 041   126   124  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 042   127   125  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 043   128   126  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 044   129   127  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 045   130   128  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 046   131   129  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 047   132   130  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 048   133   131  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 049   134   132  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 050   135   133  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 051   136   134  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 052   137   135  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 053   138   136  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 054   139   137  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 055   140   138  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 056   141   139  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 057   142   140  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 058   143   141  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 059   144   142  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 060   145   143  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 061   146   144  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
 2015 062   147   145  134.3   57.5   76.8   1.76   1.09  143.7   35.8   41.0    1.1   1.09   0.80    0.00    1.87
