*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2009 236    80    73   65.3   10.0   55.3   1.72   1.92   69.8   20.2   35.1    1.9   1.92   0.83    0.00    0.63
 2009 237    81    74   65.3   11.5   53.8   1.72   1.87   69.8   19.6   34.2    1.9   1.87   0.80    0.00    0.63
 2009 238    82    75   65.3   12.9   52.4   1.72   1.82   69.8   19.1   33.3    1.8   1.82   0.79    0.00    0.63
 2009 239    83    76   65.3   14.3   50.9   1.72   1.77   69.8   18.6   32.4    1.8   1.77   0.77    0.00    0.63
 2009 240    84    77   65.3   15.6   49.7   1.73   1.73   69.8   18.1   31.6    1.7   1.73   0.74    0.00    0.63
 2009 241    85    78   65.3   17.0   48.3   1.73   1.68   69.8   17.6   30.7    1.7   1.68   0.74    0.00    0.63
 2009 242    86    79   65.3   18.4   46.9   1.72   1.63   69.8   17.1   29.8    1.6   1.63   0.72    0.00    0.63
 2009 243    87    80   65.3   19.8   45.5   1.72   1.58   69.8   16.6   28.9    1.6   1.58   0.70    0.00    0.63
 2009 244    88    81   65.3   21.2   44.0   1.72   1.53   69.8   16.1   28.0    1.5   1.53   0.70    0.00    0.63
 2009 245    89    82   65.3   22.7   42.6   1.72   1.48   69.8   15.5   27.1    1.5   1.48   0.70    0.00    0.63
 2009 246    90    83   65.3   24.1   41.2   1.72   1.43   69.8   15.0   26.2    1.4   1.43   0.69    0.00    0.63
 2009 247    91    84   65.3   25.5   39.8   1.72   1.39   69.8   14.6   25.1    1.4   1.39   0.69    0.00    0.63
 2009 248    92    85   65.3   26.9   38.4   1.72   1.33   69.8   14.0   24.4    1.3   1.33   0.68    0.00    0.63
 2009 249    93    86   65.3   28.3   36.9   1.72   1.29   69.8   13.5   23.4    1.3   1.29   0.68    0.00    0.63
 2009 250    94    87   65.3   29.8   35.5   1.72   1.24   69.8   13.0   22.5    1.2   1.24   0.69    0.00    0.63
 2009 251    95    88   63.0   31.2   31.8   1.72   1.11   70.5   11.6   20.2    1.1   1.11   1.07    0.00    0.65
 2009 252    96    89   64.0   32.6   31.4   1.72   1.09   71.8   11.4   19.9    1.1   1.09   1.09    0.00    0.69
 2009 253    97    90   64.6   34.1   30.5   1.72   1.06   72.4   11.1   19.4    1.1   1.06   1.08    0.00    0.74
 2009 254    98    91   64.9   35.5   29.4   1.72   1.03   72.6   10.8   18.6    1.0   1.03   1.06    0.00    0.78
 2009 255    99    92   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 256   100    93   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 257   101    94   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 258   102    95   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 259   103    96   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 260   104    97   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 261   105    98   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 262   106    99   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 263   107   100   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 264   108   101   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 265   109   102   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 266   110   103   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
