*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2014 252    78    67   57.4    9.5   48.0   1.78   1.89   58.1   20.8   27.1    1.9   1.89   0.69    0.00    0.17
 2014 253    79    68   57.4   11.1   46.4   1.77   1.85   58.1   20.4   26.0    1.8   1.85   0.70    0.00    0.17
 2014 254    80    69   57.4   12.4   45.0   1.77   1.78   58.1   19.6   25.4    1.8   1.78   0.66    0.00    0.17
 2014 255    81    70   57.4   13.8   43.6   1.77   1.72   58.1   19.0   24.6    1.7   1.72   0.67    0.00    0.17
 2014 256    82    71   57.4   15.1   42.3   1.77   1.66   58.1   18.4   23.9    1.7   1.66   0.63    0.00    0.17
 2014 257    83    72   57.4   16.4   41.0   1.77   1.62   58.1   17.9   23.1    1.6   1.62   0.63    0.00    0.17
 2014 258    84    73   57.4   17.7   39.8   1.77   1.56   58.1   17.3   22.5    1.6   1.56   0.61    0.00    0.17
 2014 259    85    74   57.4   19.2   38.2   1.77   1.52   58.1   16.8   21.4    1.5   1.52   0.61    0.00    0.17
 2014 260    86    75   57.4   20.8   36.6   1.77   1.48   58.1   16.3   20.3    1.5   1.48   0.61    0.00    0.17
 2014 261    87    76   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 262    88    77   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 263    89    78   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 264    90    79   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 265    91    80   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 266    92    81   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 267    93    82   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 268    94    83   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 269    95    84   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 270    96    85   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 271    97    86   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 272    98    87   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 273    99    88   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
