*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):           NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-45   45-60     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NH1D    NH2D    NH3D    NH4D    NH5D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2014 226    52     0     1    50.7   45.7    4.9    5.10    8.09    8.16    3.15    3.37    1.46    1.46    0.85    0.02    0.02   60.37   49.44    0.00    8.14    0.00   52.23   38.38    0.00    0.00
 2014 227    53     0     1    49.7   45.0    4.7    5.24    7.95    7.98    3.10    3.31    1.38    1.41    0.82    0.02    0.02   61.34   50.36    0.00    8.26    0.00   53.08   40.15    0.00    0.00
 2014 228    54     0     1    49.2   44.6    4.6    3.16    8.49    8.22    3.06    3.27    1.35    1.36    0.79    0.02    0.02   62.25   51.21    0.00    8.37    0.00   53.87   41.47    0.00    0.00
 2014 229    55     0     1    49.6   44.8    4.8    3.14    8.18    8.55    3.03    3.24    1.48    1.45    0.78    0.02    0.02   63.35   51.94    0.00    8.51    0.00   54.84   42.09    0.00    0.00
 2014 230    56     0     1    48.0   43.3    4.8    3.59    7.89    8.07    2.94    3.14    1.51    1.46    0.76    0.02    0.02   64.46   52.76    0.00    8.65    0.00   55.82   44.59    0.00    0.00
 2014 231    57     0     1    47.9   43.1    4.8    2.43    7.11    9.00    2.90    3.10    1.55    1.48    0.75    0.02    0.02   65.51   53.57    0.00    8.77    0.00   56.74   45.60    0.00    0.00
 2014 232    58     0     1    47.2   42.2    5.0    1.15    3.50    7.38    6.99    3.03    1.62    1.54    0.77    0.02    0.02   66.70   54.32    0.00    8.92    0.00   57.78   47.38    0.00    0.00
 2014 233    59     0     1    45.9   40.3    5.6    1.42    3.14    6.14    7.57    2.94    1.65    1.59    1.01    0.02    0.02   68.37   55.00    0.00    9.11    0.00   59.26   50.15    0.00    0.00
 2014 234    60     0     1    45.9   39.8    6.1    0.94    2.07    5.00    7.63    4.61    1.65    1.63    1.22    0.03    0.02   70.37   56.08    0.00    9.33    0.00   61.03   51.97    0.00    0.00
 2014 235    61     0     1    46.6   39.9    6.7    1.10    2.06    4.53    7.01    5.72    1.73    1.73    1.42    0.03    0.02   72.04   56.88    0.00    9.51    0.00   62.53   52.71    0.00    0.00
