*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D   TRWUD
 2014 240    66  24.30  33.00  25.40  6.233  4.331  1.866  6.197  4.331  1.866  0.000  0.000  295.42  167.10   85.98   81.12    0.00    0.00   0.583   0.444   0.375   0.261   0.203   0.433
 2014 241    67  24.70  33.30  25.60  6.338  4.391  1.910  5.711  4.391  1.319  0.000  0.000  301.76  172.81   90.37   82.44    0.00    0.00   1.106   0.146   0.044   0.016   0.008   0.439
 2014 242    68  21.60  33.10  26.40  5.534  3.823  1.679  4.990  3.823  1.167  0.000  0.000  307.30  177.80   94.20   83.61    0.00    0.00   0.962   0.139   0.042   0.016   0.008   0.382
 2014 243    69  14.70  31.70  25.00  3.661  2.521  1.119  3.640  2.521  1.119  0.000  0.000  310.96  181.44   96.72   84.73    0.00    0.00   0.361   0.267   0.217   0.153   0.121   0.252
 2014 244    70  18.20  31.30  22.70  4.546  3.119  1.398  4.517  3.119  1.398  0.000  0.000  315.50  185.96   99.84   86.12    0.00    0.00   0.489   0.336   0.265   0.174   0.134   0.312
 2014 245    71  11.80  31.30  22.60  2.944  2.015  0.911  2.926  2.015  0.911  0.000  0.000  318.45  188.89  101.85   87.04    0.00    0.00   0.288   0.218   0.185   0.126   0.095   0.201
 2014 246    72  14.00  36.60  24.20  3.973  2.714  1.237  3.951  2.714  1.237  0.000  0.000  322.42  192.84  104.57   88.27    0.00    0.00   0.397   0.290   0.245   0.172   0.134   0.271
 2014 247    73  24.60  33.70  23.50  6.303  4.215  2.053  6.268  4.215  2.053  0.000  0.000  328.72  199.11  108.78   90.33    0.00    0.00   0.649   0.481   0.409   0.288   0.227   0.421
 2014 248    74   7.60  31.50  23.30  1.890  1.256  0.623  1.879  1.256  0.623  0.000  0.000  330.61  200.99  110.04   90.95    0.00    0.00   0.199   0.148   0.126   0.085   0.065   0.126
 2014 249    75  19.00  33.20  25.00  4.937  3.259  1.651  4.910  3.259  1.651  0.000  0.000  335.55  205.90  113.30   92.60    0.00    0.00   0.541   0.399   0.326   0.219   0.166   0.326
