*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    
 2014 208    34    30.0    30.0    29.9    29.9    29.7    29.6
 2014 209    35    30.6    30.5    30.5    30.3    30.2    30.1
 2014 210    36    30.7    30.6    30.6    30.5    30.3    30.2
 2014 211    37    31.4    31.4    31.3    31.1    31.0    30.8
 2014 212    38    31.8    31.8    31.7    31.5    31.3    31.1
 2014 213    39    31.6    31.5    31.4    31.3    31.1    30.9
 2014 214    40    30.9    30.9    30.8    30.7    30.5    30.4
 2014 215    41    30.6    30.5    30.5    30.4    30.3    30.2
 2014 216    42    29.8    29.8    29.8    29.7    29.6    29.6
 2014 217    43    29.5    29.5    29.4    29.4    29.3    29.2
 2014 218    44    29.1    29.1    29.1    29.0    29.0    28.9
 2014 219    45    29.5    29.5    29.5    29.5    29.4    29.3
 2014 220    46    29.6    29.6    29.6    29.5    29.4    29.4
 2014 221    47    29.3    29.3    29.3    29.2    29.2    29.1
 2014 222    48    29.2    29.2    29.2    29.2    29.1    29.1
 2014 223    49    29.4    29.4    29.3    29.3    29.2    29.2
 2014 224    50    29.1    29.1    29.1    29.0    29.0    28.9
 2014 225    51    28.9    28.9    28.9    28.9    28.9    28.8
 2014 226    52    29.0    29.0    29.0    29.0    29.0    28.9
 2014 227    53    28.8    28.8    28.8    28.8    28.8    28.7
 2014 228    54    28.0    28.0    28.1    28.1    28.1    28.1
 2014 229    55    27.9    27.9    27.9    27.9    28.0    28.0
 2014 230    56    27.7    27.8    27.8    27.8    27.9    27.9
 2014 231    57    28.1    28.1    28.1    28.2    28.2    28.2
 2014 232    58    28.6    28.7    28.7    28.7    28.7    28.7
 2014 233    59    29.5    29.5    29.5    29.5    29.4    29.4
 2014 234    60    29.3    29.3    29.3    29.3    29.3    29.3
 2014 235    61    29.5    29.5    29.5    29.4    29.4    29.4
 2014 236    62    29.5    29.5    29.5    29.4    29.4    29.4
 2014 237    63    29.7    29.7    29.7    29.6    29.6    29.6
 2014 238    64    29.2    29.2    29.2    29.2    29.1    29.1
 2014 239    65    29.6    29.6    29.6    29.6    29.6    29.5
 2014 240    66    30.4    30.4    30.3    30.3    30.2    30.2
 2014 241    67    30.8    30.8    30.8    30.7    30.6    30.6
 2014 242    68    31.0    31.0    30.9    30.9    30.8    30.7
 2014 243    69    31.6    31.6    31.6    31.5    31.4    31.3
 2014 244    70    31.7    31.6    31.6    31.5    31.4    31.3
 2014 245    71    31.2    31.2    31.1    31.0    30.9    30.8
 2014 246    72    31.4    31.3    31.3    31.2    31.1    31.0
 2014 247    73    31.5    31.5    31.4    31.3    31.2    31.1
 2014 248    74    31.3    31.3    31.2    31.1    31.1    31.0
 2014 249    75    31.6    31.6    31.5    31.4    31.3    31.2
 2014 250    76    31.5    31.5    31.4    31.4    31.2    31.1
 2014 251    77    31.0    31.0    31.0    30.9    30.8    30.8
 2014 252    78    30.8    30.8    30.7    30.7    30.6    30.6
 2014 253    79    30.3    30.3    30.3    30.3    30.2    30.2
 2014 254    80    30.4    30.4    30.4    30.3    30.3    30.2
 2014 255    81    30.8    30.8    30.7    30.7    30.6    30.6
 2014 256    82    31.0    31.0    30.9    30.9    30.8    30.7
 2014 257    83    31.0    31.0    30.9    30.9    30.8    30.7
 2014 258    84    31.8    31.8    31.7    31.6    31.5    31.4
 2014 259    85    31.4    31.4    31.4    31.3    31.2    31.1
 2014 260    86    30.7    30.7    30.7    30.6    30.6    30.5
 2014 261    87    30.1    30.1    30.1    30.1    30.0    30.0
 2014 262    88    29.9    29.9    29.9    29.9    29.9    29.9
 2014 263    89    29.8    29.8    29.8    29.8    29.8    29.8
 2014 264    90    30.4    30.4    30.4    30.4    30.3    30.3
 2014 265    91    31.4    31.4    31.4    31.3    31.2    31.2
 2014 266    92    32.2    32.2    32.1    32.0    31.9    31.8
 2014 267    93    32.7    32.6    32.6    32.5    32.3    32.2
 2014 268    94    33.0    33.0    32.9    32.8    32.7    32.5
 2014 269    95    33.1    33.1    33.0    32.9    32.8    32.6
 2014 270    96    32.4    32.3    32.3    32.2    32.1    32.0
 2014 271    97    32.1    32.1    32.0    31.9    31.8    31.7
 2014 272    98    32.1    32.1    32.1    32.0    31.9    31.8
 2014 273    99    31.9    31.9    31.9    31.8    31.7    31.6
 2014 274   100    31.6    31.6    31.5    31.5    31.4    31.3
 2014 275   101    32.5    32.5    32.4    32.3    32.2    32.1
 2014 276   102    33.0    33.0    32.9    32.8    32.6    32.5
 2014 277   103    32.8    32.7    32.7    32.6    32.4    32.3
 2014 278   104    32.8    32.8    32.7    32.6    32.5    32.4
 2014 279   105    33.3    33.3    33.2    33.1    32.9    32.7
 2014 280   106    33.5    33.5    33.4    33.3    33.1    32.9
 2014 281   107    33.6    33.6    33.5    33.4    33.2    33.0
 2014 282   108    34.2    34.1    34.0    33.9    33.7    33.5
 2014 283   109    34.6    34.6    34.5    34.3    34.1    33.9
 2014 284   110    34.3    34.3    34.2    34.0    33.8    33.6
 2014 285   111    33.6    33.6    33.5    33.4    33.2    33.0
 2014 286   112    33.6    33.6    33.5    33.4    33.2    33.1
 2014 287   113    33.5    33.5    33.4    33.3    33.1    33.0
 2014 288   114    33.7    33.6    33.6    33.4    33.3    33.1
 2014 289   115    34.2    34.1    34.0    33.9    33.7    33.5
 2014 290   116    34.9    34.9    34.8    34.6    34.4    34.2
 2014 291   117    35.0    35.0    34.9    34.7    34.5    34.3
 2014 292   118    35.0    34.9    34.8    34.6    34.4    34.2
 2014 293   119    34.9    34.9    34.8    34.6    34.4    34.2
 2014 294   120    35.2    35.2    35.0    34.8    34.6    34.4
 2014 295   121    35.8    35.7    35.6    35.4    35.1    34.9
 2014 296   122    36.3    36.2    36.1    35.9    35.6    35.3
 2014 297   123    37.2    37.1    37.0    36.7    36.3    36.0
 2014 298   124    37.9    37.8    37.6    37.3    37.0    36.6
 2014 299   125    38.1    38.0    37.8    37.5    37.1    36.8
 2014 300   126    38.0    38.0    37.8    37.4    37.0    36.7
 2014 301   127    38.0    38.0    37.7    37.4    37.0    36.6
 2014 302   128    37.9    37.9    37.7    37.3    36.9    36.5
 2014 303   129    38.0    37.9    37.7    37.3    36.9    36.5
 2014 304   130    38.1    38.0    37.7    37.4    36.9    36.5
 2014 305   131    38.2    38.1    37.9    37.5    37.0    36.6
 2014 306   132    38.4    38.3    38.0    37.6    37.1    36.6
 2014 307   133    38.4    38.3    38.0    37.6    37.0    36.5
 2014 308   134    38.4    38.3    38.0    37.5    37.0    36.4
 2014 309   135    37.6    37.5    37.2    36.7    36.2    35.7
 2014 310   136    36.7    36.6    36.3    35.9    35.4    35.0
 2014 311   137    36.1    36.1    35.8    35.5    35.1    34.7
 2014 312   138    35.8    35.8    35.5    35.2    34.7    34.3
 2014 313   139    35.5    35.5    35.2    34.8    34.4    34.0
 2014 314   140    36.0    35.9    35.6    35.2    34.7    34.2
 2014 315   141    36.6    36.5    36.1    35.6    34.9    34.4
 2014 316   142    36.6    36.5    36.1    35.5    34.8    34.2
 2014 317   143    36.5    36.4    35.9    35.3    34.6    33.9
 2014 318   144    36.4    36.2    35.8    35.1    34.3    33.7
 2014 319   145    36.5    36.3    35.9    35.1    34.3    33.6
 2014 320   146    36.6    36.4    35.9    35.1    34.3    33.5
 2014 321   147    36.8    36.6    36.0    35.2    34.3    33.5
 2014 322   148    36.8    36.6    36.0    35.1    34.2    33.4
 2014 323   149    36.7    36.5    35.9    35.0    34.1    33.2
 2014 324   150    36.6    36.4    35.8    34.8    33.9    33.1
 2014 325   151    36.3    36.1    35.5    34.6    33.7    32.8
 2014 326   152    36.2    35.9    35.3    34.4    33.5    32.7
 2014 327   153    36.0    35.8    35.2    34.3    33.3    32.5
 2014 328   154    35.9    35.7    35.0    34.1    33.2    32.3
 2014 329   155    35.8    35.6    34.9    34.0    33.1    32.2
 2014 330   156    35.6    35.4    34.8    33.8    32.9    32.1
