*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2014 231    57   16.2   12.3   13.2   17.0   34.0   0.43   32.3   22.8   27.4   29.0   17.3   27.4   29.0  135.8  398.8   0.00   0.00
 2014 232    58   45.7   12.3   13.2   24.3   48.6   0.18   31.3   22.4   26.7   28.2   16.9   26.7   28.2  134.8  398.8   0.00   0.00
 2014 233    59    0.0   12.3   13.2   20.7   41.4   0.30   30.7   26.5   28.5   29.2   20.8   28.5   29.2  133.5  398.8   0.00   0.00
 2014 234    60   38.1   12.3   13.1   12.2   24.4   0.59   28.7   21.2   24.8   26.1   15.8   24.8   26.1  132.4  398.8   0.00   0.00
 2014 235    61    0.4   12.3   13.1   16.8   33.6   0.43   29.7   21.6   25.5   26.9   16.2   25.5   26.9  131.6  398.8   0.00   0.00
 2014 236    62    1.0   12.3   13.1   20.4   40.8   0.31   31.5   24.7   28.0   29.1   19.1   28.0   29.1  130.4  398.8   0.00   0.00
 2014 237    63    0.0   12.3   13.1   24.9   49.8   0.16   32.5   25.1   28.7   29.9   19.5   28.7   29.9  131.3  398.8   0.00   0.00
 2014 238    64   28.2   12.3   13.1    9.5   19.0   0.68   28.3   21.8   24.9   26.0   16.3   24.9   26.0  130.8  398.8   0.00   0.00
 2014 239    65    0.0   12.2   13.1   21.3   42.6   0.28   31.4   22.8   26.9   28.4   17.3   26.9   28.4  128.6  398.8   0.00   0.00
 2014 240    66    0.0   12.2   13.1   24.3   48.6   0.18   33.0   25.4   29.1   30.3   19.7   29.1   30.3  127.2  398.8   0.00   0.00
 2014 241    67    0.0   12.2   13.1   24.7   49.4   0.16   33.3   25.6   29.3   30.6   19.9   29.3   30.6  126.1  398.8   0.00   0.00
 2014 242    68    0.0   12.2   13.1   21.6   43.2   0.27   33.1   26.4   29.6   30.7   20.7   29.6   30.7  125.7  398.8   0.00   0.00
 2014 243    69   15.9   12.2   13.0   14.7   29.4   0.50   31.7   25.0   28.2   29.3   19.3   28.2   29.3  125.1  398.8   0.00   0.00
 2014 244    70   26.3   12.2   13.0   18.2   36.4   0.38   31.3   22.7   26.8   28.3   17.1   26.8   28.3  126.3  398.8   0.00   0.00
 2014 245    71    0.2   12.2   13.0   11.8   23.6   0.60   31.3   22.6   26.8   28.2   17.0   26.8   28.2  124.7  398.8   0.00   0.00
 2014 246    72    3.1   12.2   13.0   14.0   28.0   0.52   36.6   24.2   30.2   32.2   18.5   30.2   32.2  123.5  398.8   0.00   0.00
 2014 247    73    0.0   12.2   13.0   24.6   49.2   0.16   33.7   23.5   28.4   30.1   17.8   28.4   30.1  121.9  398.8   0.00   0.00
 2014 248    74   37.0   12.2   13.0    7.6   15.2   0.74   31.5   23.3   27.2   28.6   17.6   27.2   28.6  122.0  398.8   0.00   0.00
 2014 249    75   11.2   12.2   13.0   19.0   38.0   0.35   33.2   25.0   28.9   30.3   19.2   28.9   30.3  122.6  398.8   0.00   0.00
 2014 250    76    0.0   12.1   13.0   17.2   34.4   0.41   29.1   26.0   27.5   28.0   20.1   27.5   28.0  121.7  398.8   0.00   0.00
 2014 251    77    0.0   12.1   13.0   21.8   43.6   0.25   32.4   23.9   28.0   29.4   18.0   28.0   29.4  122.1  398.8   0.00   0.00
 2014 252    78   29.0   12.1   13.0   19.8   39.6   0.32   33.2   23.4   28.1   29.7   17.5   28.1   29.7  121.1  398.8   0.00   0.00
 2014 253    79   18.6   12.1   12.9    9.4   18.8   0.68   28.5   22.8   25.5   26.5   16.9   25.5   26.5  121.3  398.8   0.00   0.00
 2014 254    80    0.0   12.1   12.9   22.3   44.6   0.23   33.6   23.5   28.3   30.0   17.5   28.3   30.0  119.8  398.8   0.00   0.00
 2014 255    81   12.7   12.1   12.9   13.1   26.2   0.55   32.6   23.4   27.8   29.3   17.3   27.8   29.3  120.3  398.8   0.00   0.00
 2014 256    82   17.9   12.1   12.9   24.6   49.2   0.15   33.0   24.9   28.8   30.1   18.7   28.8   30.1  122.5  398.8   0.00   0.00
 2014 257    83   10.7   12.1   12.9   10.3   20.6   0.64   34.4   23.1   28.5   30.4   17.0   28.5   30.4  124.0  398.8   0.00   0.00
 2014 258    84    6.9   12.1   12.9   23.5   47.0   0.18   32.5   25.5   28.9   30.0   19.2   28.9   30.0  124.1  399.0   0.00   0.00
 2014 259    85   56.6   12.0   12.9   12.2   24.4   0.58   31.6   23.3   27.3   28.6   17.1   27.3   28.6  122.4  399.0   0.00   0.00
 2014 260    86    3.2   12.0   12.9   11.4   22.8   0.60   27.8   24.2   25.9   26.5   17.9   25.9   26.5  123.8  399.0   0.00   0.00
 2014 261    87   11.7   12.0   12.9   14.8   29.6   0.48   30.6   23.6   27.0   28.1   17.4   27.0   28.1  124.9  399.0   0.00   0.00
 2014 262    88    0.1   12.0   12.8   23.7   47.4   0.17   31.8   24.5   28.0   29.2   18.2   28.0   29.2  126.5  399.0   0.00   0.00
 2014 263    89    6.2   12.0   12.8   22.0   44.0   0.23   32.1   24.9   28.3   29.5   18.5   28.3   29.5  128.4  399.0   0.00   0.00
 2014 264    90    5.0   12.0   12.8   21.1   42.2   0.26   34.3   26.5   30.2   31.8   19.9   30.2   31.8  130.0  399.0   0.00   0.00
 2014 265    91    0.1   12.0   12.8   21.9   43.8   0.23   33.4   25.2   29.1   30.8   18.7   29.1   30.8  131.8  399.0   0.00   0.00
 2014 266    92    7.3   12.0   12.8   20.9   41.8   0.26   33.8   26.5   30.0   31.5   19.9   30.0   31.5  132.4  399.0   0.00   0.00
 2014 267    93    0.0   12.0   12.8   25.1   50.2   0.11   33.8   26.0   29.7   31.3   19.4   29.7   31.3  132.6  399.0   0.00   0.00
 2014 268    94    0.1   12.0   12.8   23.8   47.6   0.16   33.7   25.6   29.5   31.1   18.9   29.5   31.1  133.5  399.0   0.00   0.00
 2014 269    95    0.0   11.9   12.8   23.3   46.6   0.17   34.8   23.9   29.1   31.3   17.3   29.1   31.3  136.7  399.0   0.00   0.00
 2014 270    96   30.7   11.9   12.8    8.6   17.2   0.69   30.2   20.3   25.0   27.0   13.9   25.0   27.0  137.0  399.0   0.00   0.00
